cnode#;vnode#;onode#;book;chapter;verse;verb_lexeme;verb_stem;verb_occurrence;text;constituent;type;rela;type;function;valence;predication;grammatical;original;lexical;semantic
427553;3;-1;Genesis;1;1;BR>;qal;BR> ;BR>CJT BR> >LHJM >T HCMJM W>T H>RY00 ;;;;;;;;;;;
427553;3;651546;Genesis;1;1;BR>;qal;;BR>CJT ;phrase;;;PP;Time;adjunct;NA;NA;;time;time
427553;3;651547;Genesis;1;1;BR>;qal;;BR> ;phrase;;;VP;Pred;core;regular;NA;;;
427553;3;651548;Genesis;1;1;BR>;qal;;>LHJM ;phrase;;;NP;Subj;core;NA;subject;;;
427553;3;651549;Genesis;1;1;BR>;qal;;>T HCMJM W>T H>RY00 ;phrase;;;PP;Objc;complement;NA;direct_object;;;
427623;381;-1;Genesis;1;21;BR>;qal;JBR> ;WJBR> >LHJM >T&HTNJNM HGDLJM W>T KL&NPC LMJNHM ;;;;;;;;;;;
427623;381;651759;Genesis;1;21;BR>;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427623;381;651760;Genesis;1;21;BR>;qal;;JBR> ;phrase;;;VP;Pred;core;regular;NA;;;
427623;381;651761;Genesis;1;21;BR>;qal;;>LHJM ;phrase;;;NP;Subj;core;NA;subject;;;
427623;381;651762;Genesis;1;21;BR>;qal;;>T&HTNJNM HGDLJM W>T KL&NPC ;phrase;;;PP;Objc;complement;NA;direct_object;;;
427623;381;651770;Genesis;1;21;BR>;qal;;LMJNHM ;phrase;;;PP;Adju;adjunct;NA;NA;;;
427652;535;-1;Genesis;1;27;BR>;qal;JBR> ;WJBR> >LHJM05 >T&H>DM BYLMW ;;;;;;;;;;;
427652;535;651842;Genesis;1;27;BR>;qal;;W;phrase;;;CP;Conj;NA;NA;NA;;NA;NA
427652;535;651843;Genesis;1;27;BR>;qal;;JBR> ;phrase;;;VP;Pred;core;regular;NA;;;
427652;535;651844;Genesis;1;27;BR>;qal;;>LHJM05 ;phrase;;;NP;Subj;core;NA;subject;;;
427652;535;651845;Genesis;1;27;BR>;qal;;>T&H>DM ;phrase;;;PP;Objc;complement;NA;direct_object;;;
427652;535;651846;Genesis;1;27;BR>;qal;;BYLMW ;phrase;;;PP;Adju;adjunct;NA;NA;;;
427653;545;-1;Genesis;1;27;BR>;qal;BR> ;BYLM >LHJM BR> >TW ;;;;;;;;;;;
427653;545;651847;Genesis;1;27;BR>;qal;;BYLM >LHJM ;phrase;;;PP;Adju;adjunct;NA;NA;;;
427653;545;651848;Genesis;1;27;BR>;qal;;BR> ;phrase;;;VP;Pred;core;regular;NA;;;
427653;545;651849;Genesis;1;27;BR>;qal;;>TW ;phrase;;;PP;Objc;complement;NA;direct_object;;;
427654;550;-1;Genesis;1;27;BR>;qal;BR> ;ZKR WNQBH BR> >TM00 ;;;;;;;;;;;
427654;550;651850;Genesis;1;27;BR>;qal;;ZKR WNQBH ;phrase;;;NP;Objc;complement;NA;NP_direct_object;;;
427654;550;651851;Genesis;1;27;BR>;qal;;BR> ;phrase;;;VP;Pred;core;regular;NA;;;
427654;550;651852;Genesis;1;27;BR>;qal;;>TM00 ;phrase;;;PP;Objc;complement;NA;principal_direct_object;;;
427687;724;-1;Genesis;2;3;BR>;qal;BR> ;>CR&BR> >LHJM ;;;;;;;;;;;
427687;724;651948;Genesis;2;3;BR>;qal;;>CR&;phrase;;;CP;Rela;NA;NA;NA;;NA;NA
427687;724;651949;Genesis;2;3;BR>;qal;;BR> ;phrase;;;VP;Pred;core;regular;NA;;;
427687;724;651950;Genesis;2;3;BR>;qal;;>LHJM ;phrase;;;NP;Subj;core;NA;subject;;;
427687;724;427688;Genesis;2;3;BR>;qal;;L<FWT00_P ;clause;InfC;Adju;;;NA;NA;;;;
427690;736;-1;Genesis;2;4;BR>;nif;HBR>M ;BHBR>M ;;;;;;;;;;;
427690;736;651954;Genesis;2;4;BR>;nif;;BHBR>M ;phrase;;;VP;PreS;core;regular;subject;;;
427979;2126;-1;Genesis;5;1;BR>;qal;BR> ;BR> >LHJM >DM ;;;;;;;;;;;
427979;2126;652825;Genesis;5;1;BR>;qal;;BR> ;phrase;;;VP;Pred;core;regular;NA;;;
427979;2126;652826;Genesis;5;1;BR>;qal;;>LHJM ;phrase;;;NP;Subj;core;NA;subject;;;
427979;2126;652827;Genesis;5;1;BR>;qal;;>DM ;phrase;;;NP;Objc;complement;NA;direct_object;;;
427980;2137;-1;Genesis;5;2;BR>;qal;BR>M ;ZKR WNQBH BR>M ;;;;;;;;;;;
427980;2137;652831;Genesis;5;2;BR>;qal;;ZKR WNQBH ;phrase;;;NP;Objc;complement;NA;NP_direct_object;;;
427980;2137;652832;Genesis;5;2;BR>;qal;;BR>M ;phrase;;;VP;PreO;core;regular;principal_direct_object;;;
427983;2148;-1;Genesis;5;2;BR>;nif;HBR>M00_S ;HBR>M00_S ;;;;;;;;;;;
427983;2148;652841;Genesis;5;2;BR>;nif;;HBR>M00_S ;phrase;;;VP;PreS;core;regular;subject;;;
428084;2740;-1;Genesis;6;7;BR>;qal;BR>TJ ;>CR&BR>TJ ;;;;;;;;;;;
